aback	[ə'bæk]	unazad, zapanjen
abandon	[ə'bændən]	napustiti
abase	[ə'beɪs]	spustiti, sniziti
abasement	[əbeɪsmənt]	sniženje
abash	[əbæʃ]	zbuniti, osramotiti
abate	[ə'beɪt]	umiriti, utišati
abbey	['æbi]	manastir, samostan
abbot	['æbət]	iguman, opat (prvi monah)
abbreviate	[ə'bri:vɪeɪt]	skratiti
abbreviation	[əbri:vɪ'eɪʃən]	skraćenica
abdicate	['æbdɪkeɪt]	povući se sa prestola
abdication	[æbdɪ'keɪʃən]	silazak sa prestola
abdomen	['æbdəmən]	stomak
abdominal	[æb'dɔmɪnl]	stomačni
abduct	[æb'dʌkt]	oteti, kidnapovati
abduction	[æb'dʌkʃən]	otmica, kidnapovanje
abductor	[æbdʌktə(r)]	otmičar
aberration	[æbə'reɪʃən]	odstupanje
abet	[ə'bət]	potaknuti, potpomoći
abettor	[əbetə(r)]	podstrekač, pomagač
abeyance	[ə'beɪəns]	zastoj, čekanje
abhor	[əb'hɔ:(r)]	gaditi se
abhorrence	[æbhɔ:rəns]	gađenje
abhorrent	[əb'hɔrənt]	odvratan
abide	[ə'baɪd]	boraviti, ostati
ability	[ə'bɪlɪti]	sposobnost, veština
abject	['æbdʒəkt]	opak, rđav
abjection	[æbdʒekʃən]	pokvarenost, podlost
ablaze	[ə'bleɪz]	u plamenu
able	['eɪbl]	sposoban, vešt
abnegate	[æbnɪgeɪt]	poricati, osporiti
abnegation	[æbnɪgeɪʃən]	osporavanje, poricanje
abnormal	[æb'nɔ:ml]	neobičan, nakazan
aboard	[əbɔ:(r)d]	na brodu, u vozu,…
abolish	[ə'bɔlɪʃ]	zabraniti, ukinuti
abolition	[æbə'lɪʃən]	ukidanje, zabrana
abominate	[əbɑ:məneɪt]	gaditi se, mrzeti
abomination	[əbɑ:məneɪʃən]	gađenje, gnušanje
aboriginal	[æbərɪdʒənəl]	domorodački
abort	[əbɔ:(r)t]	pobaciti, prekinuti
 


abound	[ə'baund]	obilovati
abounding	[əbaƱndɪŋ]	obilan, krcat
about	[ə'baut]	o, približno
above	[ə'bʌv]	iznad, povrh
abreast	[ə'brəst]	uporedo, ukorak
abridge	[ə'brɪdʒ]	skratiti, sažeti
abridged	[əbrɪdʒd]	skraćen
abroad	[ə'brɔ:d]	u inostranstvu
abrogate	[æbrəgeɪt]	ukinuti, obustaviti
abrogation	[əbrəƱgeɪʃən]	poništenje
abrupt	[ə'brʌpt]	isprekidan,strm, nenadan
absence	['æbsəns]	odsustvo, rasejanost
absent	[adj 'æbsənt; verb æb'sənt]	odsutan, zamišljen
absent-minded	['æbsənt'maɪndɪd]	zamišljen, nesabran, odsutan
absolute	['æbsəlu:t]	neograničen, potpun
absolutely	[æbsə'lu:tli]	sasvim, svakako
absolution	[æbsə'lu:ʃən]	oslobađanje od krivnje
absolutism	[æbsəlu:tɪzəm]	apsolutizam (neograničena vladavina)
absolve	[əb'zɔlv]	osloboditi od krivnje ili grehova
absorb	[əb'zɔ:b]	upiti
absorbed	[əbsɔ:(r)bd]	zaokupljen, zamišljen
abstain	[əb'steɪn]	uzdržati se
abstinence	['æbstɪnəns]	uzdržavanje
abstract	æb'strækt]	nestvaran, zamišljen, odvući pažnju
abstraction	[æbstrækʃən]	odvraćanje, odvajanje
abstruse	[æb'stru:s]	nejasan, mutan, skrovit
absurd	[əb'sɜ:d]	besmislen, glup
abundance	[ə'bʌndəns]	obilje, izobilje
abuse	[noun ə'bju:s; verb ə'bju:z]	zloupotrebiti, zlostaviti
abusive	[ə'bju:sɪv]	pogrdan
abysmal	[ə'bɪzməl]	nedokučiv, dubok
abyss	[ə'bɪs]	ponor, bezdan
acacia	[əkeɪʃə]	bagrem (drvo)
academic	[ækə'dəmɪk]	akademski, stručni
academy	[ə'kædəmi]	akademija
accede	[æk'si:d]	pristati, prići
accelerate	[æk'sələreɪt]	ubrzati
acceleration	[æksələ'reɪʃən]	ubrzanje
accent	['æksənt]	naglasak
accept	[ək'səpt]	prihvatiti
acceptable	[ək'səptəbl]	prihvatljiv
acceptance	[ək'səptəns]	prihvatanje
 


access	['æksəs]	prilaz, ulaz
accessible	[æk'səsəbl]	dostupan, pristupačan
accession	[æk'səʃən]	pristup, povećanje
accessory	[æk'səsəri]	dodatni, dopunski
accident	['æksɪdənt]	nezgoda, slučaj
accidental	[æksɪ'dəntl]	nehotičan, slučajan
acclaim	[ə'kleɪm]	klicati, odobravati
acclamation	[æklə'meɪʃən]	glasan pristanak
acclimatize	[əklaɪmətaɪz]	prilagoditi se (klimi)
acclivity	[əklɪvɪti:]	strmina
accommodate	[ə'kɔmədeɪt]	smestiti se, prilagoditi
accommodation	[əkɔmə'deɪʃən]	smeštaj, stan, udobnost
accompaniment	[ə'kʌmpənɪmənt]	pratnja
accompany	[ə'kʌmpəni]	pratiti, biti uz
accomplice	[ə'kʌmplɪs]	saučesnik
accomplish	[ə'kʌmplɪʃ]	ispuniti, izvršiti
accomplishment	[ə'kʌmplɪʃmənt]	ispunjenje
accord	[əkɔ:(r)d]	slaganje,sklad
accordance	[ə'kɔ:dəns]	slaganje, sklad
according	[ə'kɔ:dɪŋ]	prema tome
accordingly	[ə'kɔ:dɪŋli]	dakle, prema tome
accordion	[ə'kɔ:dɪən]	harmonika
accost	[ə'kɔst]	pristupiti, obratiti se
account	[ə'kaunt]	obračun, račun, smatrati
accountable	[ə'kauntəbl]	odgovoran nekom za nešto
accountant	[ə'kauntənt]	računovođa, knjigovođa
accounting	[ə'kauntɪŋ]	računovodstvo, knjigovodstvo
accredit	[əkredɪt]	dati poverenje
accumulate	[ə'kju:mjuleɪt]	nakupiti, skupiti
