Ārētium, -ĭi, n.	Areco
Aberdōnia, -ae, f.	Aberdin
Aberistyvium, -ĭi, n.	Aberistvit
Adiacium, -ĭi, n.	Ajačo
Aegyptus, -i, f.	Egipat
Aenus, -i, m. reka	In
Aetna, -ae, f.	Etna
Africa, -ae, f.	Afrika
Agaunum, -i, n.	Sent Moric
Agrĭgentum, -i. n.	Agrigent
Albis, -is, m. reka	Elba, Laba
Aldenarda, -ae, f.	Oudnard
Alexandrēa, -ae, f.	Aleksandrija
Alexandrīa, -ae, f.	Aleksandrija
Algerium, -ĭi, n.	Alžir
Alpēs summae, f.	Sent Gothard
Alpēs, -ĭum, f.	Alžir
Alpis Grāia, f.	Mali Sent Bernard
Alsatia, -ae, f.	Alzas
Amalphis, -is, f.	Amalfi
Ambianum, -i, n.	Amijen 
Amstelodamum, -i, n.	Amsterdam
Anas, -ae, f.	 Gvadijana
Ancyra, -ae, f.	Ankara 
Andegāvēnsis ager, m.	 Anžu 
Andegāvum, -i, n.	Anže
Anglia, -ae, f.	Engleska
Anio, -iensis, m.	Anijen
 
Antiochīa, -ae, f.	Antiohija
Antipolis, -is, f.	Antib
Antium, -ĭi, n.	Ancio
Antwerpium, -ĭi, n.	Antverpen
Aquae Aurēliae, f.	Baden-Baden
Aquae Carolīnae, -ārum, f. Karlsbad, Karlove Vari
Aquae Grātiānae, f.	Eks-le-Ben
Aquae Sextiae, f.	Eks-an-Provans
Aquae Solis, f.	Viši
Aquae Sulis, f.	Bat
Aquīsgrānum, -i, n.	Ahen
Aquīsgrānum, -i, n.	Eks-la-Šapel
Aragōnia, -ae, f.	Aragonija
Arar, Araris, m. reka	Sona
Arausiō, -ōnis, f.	 Oranž 
Archangelopolis, -is, f.	 Arhanglesk 
Arduenna, -ae, f.	Ardeni
Arelas, -ātis, f.	Arl
Argadia, -ae, f.	Argajl
Argentorātus, -i, f.	Strazbur
Arīminum, -i, n.	Rimini
Ariāna, -ae, f.	Avganistan
Armācha, -ae, f.	Arma 
Armoricae, -ārum, f.	 Bretanja 
Arnus, -i, m. reka	 Arno
Arvernī, -ōrum, m.	Overnj
Assīsium, -ĭi, n.	Asizi
Athēnae, -ārum, f.	Atina
 

Athesis, -is, m. reka	Adiđa
Atrebates, -tum, m.	Aras
Augusta Praetōria, f.	 Aosta 
Augusta Suessiōnum, f.	 Soason 
Augusta Taurīnōrum, f.	 Torino 
Augusta Treverōrum, f.	 Trir 
Augusta Vindelicōrum, f. Augzburg 
Augustodūrum, -i, n.	Baje 
Augustodūnum, -i, n.	 Oten 
Augustorītum, -i, n.	 Limož
Aurēliānum, -i, n.	Orlean 
Auvona, -ae, m. reka	Ejvon 
Avāricum, -i, n.	 Burž
Aveniō, -ōnis, f.	Avinjon
Aventīnus, -i, m.	Aventin
Axius, -ĭi, m. reka	Vardar
Axona, -ae, m. reka	Ena
Bārium, -ĭi, n.	Bari
Babylōn, -ōnis, f.	Vavilon
